region,subregion,date,cases,deaths,ma_days,lag_days,ma_cases,ma_deaths
Brazil,State,2020-07-22,66150,1296,10,22,40060.8,997.15
Brazil,State,2020-07-23,57326,1313,10,22,41141.74999999999,995.85
Brazil,State,2020-07-24,56750,1142,10,22,44167.950000000004,1041.2500000000002
Brazil,State,2020-07-25,47528,1108,10,22,47536.75,1087.4
Brazil,State,2020-07-26,22670,571,10,22,49605.149999999994,1106.4999999999998
Brazil,State,2020-07-27,27998,684,10,22,48684.65,1086.25
Brazil,State,2020-07-28,53995,1257,10,22,45798.00000000001,1029.4
Brazil,State,2020-07-29,55439,1198,10,22,42302.450000000004,963.3000000000001
Brazil,State,2020-07-30,58161,1202,10,22,40886.450000000004,946.7500000000001
Brazil,State,2020-07-31,53142,1271,10,22,43010.950000000004,998.4
Brazil,State,2020-08-01,41525,937,10,22,45998.100000000006,1066.4500000000003
Brazil,State,2020-08-02,24218,535,10,22,47068.05,1084.8500000000001
Brazil,State,2020-08-03,19947,598,10,22,46384.950000000004,1057.5500000000002
Brazil,State,2020-08-04,56011,1321,10,22,44147.70000000001,1007.2
Brazil,State,2020-08-05,56677,1391,10,22,41050.700000000004,951.4
Brazil,State,2020-08-06,53734,1225,10,22,40177.700000000004,939.5
Brazil,State,2020-08-07,49658,1084,10,22,42163.6,984.5
Brazil,State,2020-08-08,46114,825,10,22,45740.350000000006,1048.8
Brazil,State,2020-08-09,22741,568,10,22,47456.5,1064.9
Brazil,State,2020-08-10,26622,789,10,22,46137.5,1016.4499999999999
Brazil,State,2020-08-11,50585,1181,10,22,43611.3,951.8499999999999
Brazil,State,2020-08-12,54876,1191,10,22,40800.30000000001,905.35
Brazil,State,2020-08-13,60824,1228,10,22,39661.59999999999,916.5
Brazil,State,2020-08-14,49457,1013,10,22,41077.3,972
Brazil,State,2020-08-15,36851,730,10,22,43172.05,1023.75
Brazil,State,2020-08-16,23036,594,10,22,43087.549999999996,1040.25
Brazil,State,2020-08-17,24136,785,10,22,41748.75000000001,1016.25
Brazil,State,2020-08-18,48862,1347,10,22,39361.45,959.5000000000001
Brazil,State,2020-08-19,48307,1156,10,22,36095.35,905.6
Brazil,State,2020-08-20,42951,1236,10,22,35250.600000000006,914.0000000000001
Brazil,State,2020-08-21,32566,1064,10,22,36977.350000000006,962.2000000000002
Brazil,State,2020-08-22,46119,828,10,22,39143.1,996.6500000000001
Brazil,State,2020-08-23,21835,456,10,22,39810.6,981.5000000000001
Brazil,State,2020-08-24,23124,707,10,22,39031.700000000004,944.05
Brazil,State,2020-08-25,46289,1204,10,22,37081.90000000001,889.85
Brazil,State,2020-08-26,48133,1084,10,22,36532.50000000001,826.75
Brazil,State,2020-08-27,42354,984,10,22,37300.200000000004,822.05
Brazil,State,2020-08-28,43994,845,10,22,38441.00000000001,875.9499999999999
Brazil,State,2020-08-29,37597,909,10,22,40863.850000000006,921.4999999999999
