region,subregion,date,tfs_coefficient_value,tfs_exponent_value,tfs_coefficient_sd,tfs_exponent_sd,tfs_coefficient_r2,tfs_exponent_r2,information,window_flag,length
Spain,Province,2021-06-06,48.6174286132141,-0.625432012927072,0.00420945984197358,2.2074562765776e-4,0.999988913123799,0.999988913123799,cases,fixed,90
Spain,Province,2021-06-07,48.6210974828731,-0.625624410161325,0.0042509629904435,2.22921417214203e-4,0.999988700445548,0.999988700445548,cases,fixed,90
Spain,Province,2021-06-08,48.6247879423607,-0.625817939089992,0.0042975357339873,2.25363044113237e-4,0.999988458709335,0.999988458709335,cases,fixed,90
Spain,Province,2021-06-09,48.6285016286709,-0.62601268554919,0.00434901800441408,2.28062112070823e-4,0.999988187960436,0.999988187960436,cases,fixed,90
Spain,Province,2021-06-10,48.6322402679668,-0.626208740049813,0.00440521704665706,2.31008510810232e-4,0.999987888373825,0.999987888373825,cases,fixed,90
Spain,Province,2021-06-11,48.6360052984581,-0.626406178002548,0.00446598123195868,2.3419428682124e-4,0.999987559863901,0.999987559863901,cases,fixed,90
Spain,Province,2021-06-12,48.6398016159363,-0.626605256128778,0.00453105406038659,2.37605987300521e-4,0.99998720291243,0.99998720291243,cases,fixed,90
Spain,Province,2021-06-13,48.6436351890711,-0.626806287407479,0.00460013775414937,2.41227995020693e-4,0.999986818251907,0.999986818251907,cases,fixed,90
Spain,Province,2021-06-14,48.6475078694571,-0.62700936892075,0.00467300261160942,2.45048262792897e-4,0.999986406249376,0.999986406249376,cases,fixed,90
Spain,Province,2021-06-15,48.6514208180678,-0.627214561534265,0.00474940680957114,2.49054107927336e-4,0.999985967370259,0.999985967370259,cases,fixed,90
Spain,Province,2021-06-16,48.6553753801407,-0.62742193577529,0.00482908892978301,2.53231820340853e-4,0.999985502241288,0.999985502241288,cases,fixed,90
Spain,Province,2021-06-17,48.659372491086,-0.62763154068029,0.00491182470845967,2.57569638442295e-4,0.999985011322573,0.999985011322573,cases,fixed,90
Spain,Province,2021-06-18,48.663414294202,-0.627843488622185,0.00499723700161526,2.62047783964431e-4,0.999984496081846,0.999984496081846,cases,fixed,90
Spain,Province,2021-06-19,48.6675054532151,-0.628058024139677,0.00508497946134159,2.66648093767486e-4,0.999983957927709,0.999983957927709,cases,fixed,90
