region,subregion,date,distribution_name,information,scale,inequality,shape,aic,bic,meanlog,sdlog,log-likelihood
Missouri,County,2021-10-01,gamma,cum_cases,7144.5391304348,NA,0.70022931032663,2263.91912504705,2269.40898930377,NA,NA,NA
Missouri,County,2021-10-01,gamma,cum_deaths,100.130434782609,NA,0.691917913104268,1281.53747851221,1287.02734276894,NA,NA,NA
Missouri,County,2021-10-01,lognormal,cum_cases,NA,NA,NA,2203.00225589751,2429.00225589751,8.01107586056854,1.13981149006976,1099.50112794875
Missouri,County,2021-10-01,lognormal,cum_deaths,NA,NA,NA,1228.25717905454,1454.25717905454,3.73162085847143,1.18803145513528,612.12858952727
Missouri,County,2021-10-01,weibull,cum_cases,5530.39186348225,NA,0.747380107196266,2247.85580035198,2253.34566460871,NA,NA,NA
Missouri,County,2021-10-15,burr,cum_cases,7800.07345241816,53.5407127881293,0.0447786107032849,2207.36765910991,2215.60245549499,NA,NA,NA
Missouri,County,2021-10-15,burr,cum_deaths,108.990831264978,43.3601156454453,0.0537608299273608,1237.33685000083,1245.57164638592,NA,NA,NA
Missouri,County,2021-10-15,gamma,cum_cases,7299.28695652174,NA,0.701301833777755,2268.95114568026,2274.44100993698,NA,NA,NA
Missouri,County,2021-10-15,gamma,cum_deaths,102.84347826087,NA,0.698909599626242,1288.3848480732,1293.87471232993,NA,NA,NA
Missouri,County,2021-10-15,lognormal,cum_cases,NA,NA,NA,2207.94120452567,2433.94120452567,8.03400996940189,1.13815072831698,1101.97060226283
Missouri,County,2021-10-15,lognormal,cum_deaths,NA,NA,NA,1235.11309032151,1461.11309032151,3.76832430141725,1.17986740399101,615.556545160757
Missouri,County,2021-10-15,weibull,cum_cases,5654.84141216003,NA,0.747818580619055,2252.92512188603,2258.41498614275,NA,NA,NA
Missouri,County,2021-11-01,burr,cum_cases,8085.93522579476,60.5982238646455,0.0390994043669897,2140.65284012232,2148.78143072626,NA,NA,NA
Missouri,County,2021-11-01,burr,cum_deaths,113.139926384882,46.3698106077035,0.0496908212887467,1205.13145673921,1213.26004734315,NA,NA,NA
Missouri,County,2021-11-01,gamma,cum_cases,7610.08108108108,NA,0.695512291700525,2198.87944923174,2204.29850963437,NA,NA,NA
Missouri,County,2021-11-01,gamma,cum_deaths,107.324324324325,NA,0.694514800338104,1252.75804995375,1258.17711035638,NA,NA,NA
Missouri,County,2021-11-01,lognormal,cum_cases,NA,NA,NA,2140.75903167827,2358.75903167827,8.06752674206483,1.14863334204552,1068.37951583913
Missouri,County,2021-11-01,lognormal,cum_deaths,NA,NA,NA,1202.552901311,1420.552901311,3.80473032886248,1.19150474637257,599.2764506555
Missouri,County,2021-11-01,weibull,cum_cases,5875.28655664798,NA,0.745104559649377,2183.38562272372,2188.80468312634,NA,NA,NA
