region,subregion,lag,frequency,cum_frequency,psd,days,psd_d1,psd_d2,psd_d1_sd,psd_d2_sd,maxima,lag_days
India,State,28,1,0.03571428571428571,3.082333322773486,28,-0.012034390620850655,0.17168684773702125,0.1545948662703545,0.2350792558177583,5,16
India,State,29,1,0.034482758620689655,2.968361389431386,29,-0.11397193334209987,-0.10193754272124922,0.1545948662703545,0.2350792558177583,6,16
India,State,30,1,0.03333333333333333,2.8314908275321247,30,-0.1368705618992614,-0.022898628557161516,0.1545948662703545,0.2350792558177583,7,16
India,State,32,1,0.03125,2.708444239746682,32,0.0613443902395967,0.24573536826463593,0.1545948662703545,0.2350792558177583,8,16
India,State,33,1,0.030303030303030304,2.584443339193601,33,-0.1240009005530811,-0.1853452907926778,0.1545948662703545,0.2350792558177583,9,16
India,State,34,1,0.029411764705882353,2.5254492539023676,34,-0.0589940852912334,0.0650068152618477,0.1545948662703545,0.2350792558177583,10,16
Kansas,County,158,1,0.006329113924050633,0.5163571831114392,158,-0.006390027828337752,0.13839563736526372,0.026747750588103993,0.03895580855178276,1,61
Kansas,County,163,1,0.006134969325153374,0.48843656927659856,163,-0.025699841942627033,0.04012238275780172,0.026747750588103993,0.03895580855178276,2,61
Kansas,County,164,1,0.006097560975609756,0.47246004599446334,164,-0.015976523282135224,0.009723318660491809,0.026747750588103993,0.03895580855178276,3,61
Kansas,County,165,1,0.006060606060606061,0.45940223466900415,165,-0.01305781132545919,0.0029187119566760344,0.026747750588103993,0.03895580855178276,4,61
Kansas,County,166,1,0.006024096385542169,0.44548124408869794,166,-0.013920990580306214,-8.631792548470241e-4,0.026747750588103993,0.03895580855178276,5,61
Kansas,County,308,1,0.003246753246753247,0.33423025736345935,308,-0.00635181008614033,0.17988000300605966,0.026747750588103993,0.03895580855178276,6,61
Kansas,County,61,1,0.01639344262295082,0.3097374768068813,61,0.00619848194164252,0.34317426202083984,0.026747750588103993,0.03895580855178276,7,61
Kansas,County,363,1,0.0027548209366391185,0.2990695002874889,363,-0.011781850994872445,-0.020047814420841414,0.026747750588103993,0.03895580855178276,8,61
Kansas,County,366,1,0.00273224043715847,0.2905193142359817,366,0.008494174800457444,0.16965667834910547,0.026747750588103993,0.03895580855178276,9,61
Kansas,County,280,1,0.0035714285714285713,0.2666021343891639,280,0.0018919937778550944,0.05559680203747669,0.026747750588103993,0.03895580855178276,10,61
Kentucky,County,16,1,0.0625,1.4740696543136445,16,-0.0432203932006332,0.3443965176122492,0.04902534296936833,0.06325951368217576,1,16
