region,subregion,date,lag,ccf,pacf_cases,pacf_deaths,days,pacf_cases_d1,pacf_cases_d2,pacf_deaths_d1,pacf_deaths_d2,pacf_cases_d1_sd,pacf_cases_d2_sd,pacf_deaths_d1_sd,pacf_deaths_d2_sd,minima,ma_days
Georgia,County,2020-02-04,13,0.01921133617527806,-0.18602190748583047,0.058441818253587324,13,-0.04745721958159932,0.08756057678712309,0.04650258750605976,0.04539767576674844,0.10336905449455835,0.17460410227487325,0.06563207378010681,0.10927933737167209,1,13
Georgia,County,2020-02-11,20,-0.007419424203148817,-0.16065333615933375,0.02944422034016551,20,-0.060426213701490025,-0.028260210740329972,0.03697085958053326,0.03425358021927672,0.10336905449455835,0.17460410227487325,0.06563207378010681,0.10927933737167209,2,13
Georgia,County,2020-02-10,19,0.018034745400244433,-0.10022712245784372,-0.007526639240367749,19,-0.03216600296116005,-3.297799229920462e-5,0.002717279361256539,0.008579399438619843,0.10336905449455835,0.17460410227487325,0.06563207378010681,0.10927933737167209,3,13
Georgia,County,2020-07-04,164,-0.08153750614637748,-0.08456712867102213,-0.013335094341386095,164,-0.03726032047479651,0.0996875294045834,0.023429108463738257,0.07517010003462302,0.10336905449455835,0.17460410227487325,0.06563207378010681,0.10927933737167209,4,13
Georgia,County,2020-07-01,161,0.021374293375601143,-0.08122311482794217,0.03566225734254058,161,-0.05264627128152556,-0.018034621790533722,0.045385480203206194,0.09533090598298083,0.10336905449455835,0.17460410227487325,0.06563207378010681,0.10927933737167209,5,13
Georgia,County,2020-02-14,23,-0.05200703072309412,-0.07478123982531211,-0.00840443247212306,23,0.003806050032717681,0.050338233558294615,-0.03255434087340832,0.03524786693269445,0.10336905449455835,0.17460410227487325,0.06563207378010681,0.10927933737167209,6,13
Georgia,County,2020-06-12,142,-0.0454771632748854,-0.07128851193769949,-0.0033160357839877976,142,-0.03130789526777809,0.027424187509821514,-0.01566863990107815,-0.0027478152869223147,0.10336905449455835,0.17460410227487325,0.06563207378010681,0.10927933737167209,7,13
Georgia,County,2020-02-09,18,-0.018241331520028638,-0.06806111949668367,-0.010243918601624288,18,-0.03213302496886085,-0.03808261864461184,-0.0058621200773633034,-0.007777661418289268,0.10336905449455835,0.17460410227487325,0.06563207378010681,0.10927933737167209,8,13
Georgia,County,2020-06-18,148,0.032368767248753684,-0.06421201113251018,0.0026937629934459177,148,-0.09516254687548723,-0.12096219592290576,-0.0294391649286007,-0.0283945773821737,0.10336905449455835,0.17460410227487325,0.06563207378010681,0.10927933737167209,9,13
Georgia,County,2020-06-23,153,0.04727993063273962,-0.06394009747212291,0.028998237271150567,153,-0.058929026897243365,-0.1709239882970879,0.032948086379174575,0.036731578011267155,0.10336905449455835,0.17460410227487325,0.06563207378010681,0.10927933737167209,10,13
Illinois,County,2020-08-31,222,-0.01062884911326013,-0.06502855935731636,-0.006073636601510905,222,0.014131103660199651,0.08235865005677231,4.6548219636156993e-4,0.0038498464886249114,0.017654394649676514,0.0257351133945571,0.009664035483575834,0.015960224335107936,1,208
Illinois,County,2020-09-15,237,-0.006202596226871251,-0.03354145462943056,-6.750066619668392e-4,237,0.003590459761889493,0.035885566588804825,8.811298149299678e-4,1.4652206210761457e-4,0.017654394649676514,0.0257351133945571,0.009664035483575834,0.015960224335107936,2,208
Illinois,County,2020-08-24,215,-0.009472459246489217,-0.021759536939209546,-0.005470830134681236,215,-0.011924125070666288,-0.006765685390507529,0.002091211750974333,0.008525309421684103,0.017654394649676514,0.0257351133945571,0.009664035483575834,0.015960224335107936,3,208
Illinois,County,2020-09-09,231,-0.00940548888670308,-0.020924280434045366,-0.0045091303294593115,231,0.008567751877928832,0.024257112772618786,1.5118639860170306e-4,-0.0024687941574367154,0.017654394649676514,0.0257351133945571,0.009664035483575834,0.015960224335107936,4,208
Illinois,County,2021-04-18,452,-0.001276839689610043,-0.0194218887335483,-0.004091347464104675,452,-0.002843302982960913,0.0013310251957279022,3.1119534823857535e-4,0.0029068185098669037,0.017654394649676514,0.0257351133945571,0.009664035483575834,0.015960224335107936,5,208
Illinois,County,2021-04-24,458,0.0018094987715418962,-0.019243070329049598,1.5361443833658957e-4,458,-0.004236878350143738,0.003111389962662173,0.00572314293491118,0.011716633545403244,0.017654394649676514,0.0257351133945571,0.009664035483575834,0.015960224335107936,6,208
Illinois,County,2021-04-25,459,-0.0025747810797166386,-0.01786693035516876,-0.004101347757506675,459,0.001376139973880839,0.005613018324024577,-0.004254962195843265,-0.009978105130754446,0.017654394649676514,0.0257351133945571,0.009664035483575834,0.015960224335107936,7,208
Illinois,County,2020-08-17,208,-0.005479263183107072,-0.017079980818399683,-7.179976758505096e-4,208,-0.010113505574507273,-0.005902155340320566,0.002914386492782187,0.004441020104573071,0.017654394649676514,0.0257351133945571,0.009664035483575834,0.015960224335107936,8,208
Illinois,County,2020-10-20,272,-0.005148373844778994,-0.017058584292598104,3.1744582380900275e-4,272,-0.008956190262717836,-0.010183264570426936,2.5421190746645437e-4,-3.5793953071586355e-4,0.017654394649676514,0.0257351133945571,0.009664035483575834,0.015960224335107936,9,208
Illinois,County,2021-04-17,451,-8.787856033663158e-4,-0.016578585750587387,-0.0044025428123432506,451,-0.004174328178688815,-0.0022222105598471674,-0.0025956231616283284,-0.0012447257244129497,0.017654394649676514,0.0257351133945571,0.009664035483575834,0.015960224335107936,10,208
